date,open,high,low,close,adjusted_close,volume
2023-12-04,369.1,374.46,362.9,374.23,372.8667,119574100
2023-12-11,368.48,377.64,364.13,370.73,369.3794,205258300
2023-12-18,369.45,376.03,368.68,374.58,373.2154,103522400
2023-12-26,375.0,377.16,372.81,376.04,374.6701,60628500
2024-01-02,373.86,375.9,366.5,367.75,366.4103,90230600
2024-01-08,369.3,390.68,369.01,388.47,387.0548,118974700
2024-01-16,393.66,398.67,384.81,398.67,397.2177,102100500
2024-01-22,400.02,407.01,393.59,403.93,402.4585,111234300
2024-01-29,406.06,415.32,397.21,411.22,409.7219,164761600
2024-02-05,409.9,420.82,402.91,420.55,419.0179,109333500
2024-02-12,420.56,420.74,403.39,404.06,403.3325,113535600
2024-02-20,403.24,415.86,397.22,410.34,409.6012,86244800
2024-02-26,411.46,415.87,403.85,415.5,414.7519,93960000
2024-03-04,413.44,417.35,398.39,406.22,405.4886,103549500
2024-03-11,403.76,427.82,401.26,416.42,415.6703,134900800
2024-03-18,414.25,430.82,413.78,428.74,427.9681,96736700
2024-03-25,425.24,427.41,419.01,420.72,419.9625,73362300
2024-04-01,423.95,428.67,417.57,425.52,424.7539,86645500
2024-04-08,425.17,429.37,419.7,421.9,421.1404,80199800
2024-04-15,426.6,426.82,397.77,399.12,398.4014,104201000
2024-04-22,400.08,413.0,388.03,406.32,405.5884,121367900
2024-04-29,405.25,407.15,389.17,406.66,405.9278,107082100
2024-05-06,408.76,415.38,406.37,414.74,413.9933,76899100
2024-05-13,418.01,425.42,410.82,420.21,420.21,85671300
2024-05-20,420.21,433.6,419.99,430.16,430.16,84856600
2024-05-28,429.63,430.94,404.51,415.13,415.13,107655200
2024-06-03,415.53,426.28,408.92,423.85,423.85,77304600
